path,filename,modality,vocal_channel,emotion_code,emotion,intensity,statement,repetition,actor,gender,split,error,duration,sr,channels,frames,subtype,md5
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,03,01,01,neutral,normal,Kids are talking by the door,1,1,male,train,,3.3032916666666665,48000,1,158558,PCM_16,880ae6a06b809441b366a04d94cc6526
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,03,01,01,neutral,normal,Kids are talking by the door,2,1,male,train,,3.3366666666666664,48000,1,160160,PCM_16,89c4c44b112dd9f92b0fbfd196993ae5
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,03,01,01,neutral,normal,Dogs are sitting by the door,1,1,male,train,,3.2699166666666666,48000,1,156956,PCM_16,c42dc571fee813208a5d291aed771878
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,03,01,01,neutral,normal,Dogs are sitting by the door,2,1,male,train,,3.1698333333333335,48000,1,152152,PCM_16,a9feefc64ca15ee755b0116e16edef94
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,03,01,02,calm,normal,Kids are talking by the door,1,1,male,train,,3.5368541666666666,48000,1,169769,PCM_16,bb245edb08569d3bc983daad540f11b1
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,03,01,02,calm,normal,Kids are talking by the door,2,1,male,train,,3.6035833333333334,48000,2,172972,PCM_16,08ba4b7df36739e377ef7261e9104ecf
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,03,01,02,calm,normal,Dogs are sitting by the door,1,1,male,train,,3.5035,48000,1,168168,PCM_16,d9b3808998049ab0e62024b8063fe0be
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,03,01,02,calm,normal,Dogs are sitting by the door,2,1,male,train,,3.4701458333333335,48000,1,166567,PCM_16,fbf9fa4afffb5a1466f87f7732f0c19f
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,03,01,02,calm,strong,Kids are talking by the door,1,1,male,train,,3.703708333333333,48000,1,177778,PCM_16,99a2f79fb22d3456cd297c561371d238
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,03,01,02,calm,strong,Kids are talking by the door,2,1,male,train,,4.004,48000,1,192192,PCM_16,30988e09b3d8dc22482eec8d4f381b09
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,03,01,02,calm,strong,Dogs are sitting by the door,1,1,male,train,,4.204208333333334,48000,1,201802,PCM_16,275f81be11df99a3123f2c5e6b92715c
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,03,01,02,calm,strong,Dogs are sitting by the door,2,1,male,train,,4.004,48000,1,192192,PCM_16,1305c439d51704362aa655666da360fc
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,03,01,03,happy,normal,Kids are talking by the door,1,1,male,train,,3.4701458333333335,48000,1,166567,PCM_16,3a2d91c26bcb26bf2737846db1ed7c46
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,03,01,03,happy,normal,Kids are talking by the door,2,1,male,train,,3.470125,48000,1,166566,PCM_16,bf9fc1c9ecfbc147f2f160323f6023c5
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,03,01,03,happy,normal,Dogs are sitting by the door,1,1,male,train,,3.5368541666666666,48000,1,169769,PCM_16,576e0c8025c57e2e4f0826379c7a1e51
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,03,01,03,happy,normal,Dogs are sitting by the door,2,1,male,train,,3.703708333333333,48000,1,177778,PCM_16,a3082f06b2429f1fa5aa2663df53ef17
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,03,01,03,happy,strong,Kids are talking by the door,1,1,male,train,,3.6703333333333332,48000,1,176176,PCM_16,4c6fcac0b890e79b8389efbec7980b9b
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,03,01,03,happy,strong,Kids are talking by the door,2,1,male,train,,3.6369583333333333,48000,1,174574,PCM_16,3ef432148a0974201641e3d3bcce8cee
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,03,01,03,happy,strong,Dogs are sitting by the door,1,1,male,train,,3.93725,48000,1,188988,PCM_16,4fc85557b5164b75b84b58b6f80e74e1
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,03,01,03,happy,strong,Dogs are sitting by the door,2,1,male,train,,3.9372708333333333,48000,1,188989,PCM_16,3f41255c08fdd714952d03c3e60dbefb
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,03,01,04,sad,normal,Kids are talking by the door,1,1,male,train,,3.8371666666666666,48000,1,184184,PCM_16,8eaf12bbbf5c416ca4a8f22f2e7146fa
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,03,01,04,sad,normal,Kids are talking by the door,2,1,male,train,,3.5702291666666666,48000,1,171371,PCM_16,4553e4de25cd7fdbc4b66827dad97739
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,03,01,04,sad,normal,Dogs are sitting by the door,1,1,male,train,,3.5035,48000,1,168168,PCM_16,9ff3ec08a011c83004f9d00dda9023d6
C:\Emotion detection\-Emotion-Recognition-from-Speech\data\raw\RAVDESS\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,03,01,04,sad,normal,Dogs are sitting by the door,2,1,male,train,,3.370041666666667,48000,1,161762,PCM_16,b1c3db90124ae5aaecb7b4307548642d
